submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,target,age,response,comments,picture1,education,target_size,name,languages,sex,RT,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,response2,correct,adj_cond,trial_name,adj,utterance
2190,<i>What do you think Speaker A meant? </i>,NA,NA,NA,33,NA,NA,NA,No.,1,NA,susan,1,NA,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,buildings,NA,NA,graduated_college,NA,comp_class_warmup,English,male,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1587393642843,1,The Empire State Building is tall relative to other,NA,1,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2190,NA,weed,NA,NA,33,warmup/sunflower2.png,dandelion,This is a,No.,1,flowers,susan,NA,sunflower,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/dandelion2.png,graduated_college,NA,NA,English,male,NA,NA,1,1587393642843,1,NA,This is a,1,sunflower,NA,NA,warmup1,NA,NA
2190,NA,dandelion,NA,NA,33,warmup/sunflower2.png,dandelion,This is a,No.,1,flowers,susan,NA,sunflower,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/dandelion2.png,graduated_college,NA,NA,English,male,NA,NA,1,1587393642843,2,NA,This is a,1,sunflower,NA,NA,warmup1,NA,NA
2190,NA,hummingbird,NA,NA,33,warmup/eagle2.png,hummingbird,This is a,No.,1,birds1,susan,NA,eagle,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/hummingbird2.png,graduated_college,NA,NA,English,male,NA,NA,2,1587393642843,1,NA,This is an,1,eagle,NA,NA,warmup1,NA,NA
2190,NA,swordfish,NA,NA,33,warmup/goldfish2.png,swordfish,This is a,No.,1,fish,susan,NA,goldfish,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/swordfish2.png,graduated_college,NA,NA,English,male,NA,NA,3,1587393642843,1,NA,This is a,1,goldfish,NA,NA,warmup1,NA,NA
2190,NA,goose,NA,NA,33,warmup/sparrow2.png,goose,This is a,No.,1,birds2,susan,NA,sparrow,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/goose2.png,graduated_college,NA,NA,English,male,NA,NA,4,1587393642843,1,NA,This is a,1,sparrow,NA,NA,warmup1,NA,NA
2190,What do you think your friend is saying is it big relative to?,NA,images/sparrow.png,images/bird-parade-basic2.png,33,NA,NA,NA,No.,1,birds2,susan,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,sparrow,NA,sparrow,NA,NA,graduated_college,small,NA,English,male,17283,You and your friend see the following:,1,1587393642843,NA,It is big relative to other,NA,1,NA,NA,incongruent,custom_main_text1,big,Your friend says: <br/><b>That's a big sparrow.</b>
2190,What do you think your friend is saying is it big relative to?,NA,images/eagle.png,images/bird-parade-basic.png,33,NA,NA,NA,No.,1,birds1,susan,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,eagle,NA,hummingbird,NA,NA,graduated_college,big,NA,English,male,13939,You and your friend see the following:,2,1587393642843,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That eagle is big.</b>
2190,What do you think your friend is saying is it big relative to?,NA,images/sunflower.png,images/flower-parade-basic.png,33,NA,NA,NA,No.,1,flowers,susan,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,sunflower,NA,dandelion,NA,NA,graduated_college,big,NA,English,male,12456,You and your friend see the following:,3,1587393642843,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big sunflower.</b>
2190,What do you think your friend is saying is it big relative to?,NA,images/goldfish.png,images/fish-parade-basic.png,33,NA,NA,NA,No.,1,fish,susan,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,goldfish,NA,goldfish,NA,NA,graduated_college,small,NA,English,male,6698,You and your friend see the following:,4,1587393642843,NA,It is big relative to other,NA,1,NA,NA,incongruent,custom_main_text1,big,Your friend says: <br/><b>That goldfish is big.</b>
2190,NA,canary,NA,NA,33,warmup/ostrich2.png,canary,This is a,No.,1,birds3,susan,NA,ostrich,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/canary2.png,graduated_college,NA,NA,English,male,NA,NA,1,1587393642843,1,NA,This is an,1,ostrich,NA,NA,warmup2,NA,NA
2190,NA,redwood,NA,NA,33,warmup/bonsai2.png,redwood or sequoia (choose one),This is a,No.,1,trees,susan,NA,bonsai,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,NA,NA,warmup/redwood2.png,graduated_college,NA,NA,English,male,NA,NA,2,1587393642843,1,NA,This is a,1,bonsai,NA,NA,warmup2,NA,NA
