submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,ref_np,target,age,response,comments,picture1,education,target_size,name,languages,sex,RT,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,response2,correct,adj_cond,trial_name,adj,utterance
2237,<i>What do you think Speaker A meant? </i>,NA,NA,NA,34,NA,NA,NA,no,0,NA,linda,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,31,buildings,NA,NA,some_college,NA,comp_class_warmup,english,male,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1587741893988,1,The Empire State Building is tall relative to other,NA,2.5,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2237,NA,dandelion,NA,NA,34,warmup/sunflower2.png,dandelion,This is a,no,0,flowers,linda,NA,sunflower,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/dandelion2.png,some_college,NA,NA,english,male,NA,NA,1,1587741893988,1,NA,This is a,2.5,sunflower,NA,NA,warmup1,NA,NA
2237,NA,pug,NA,NA,34,warmup/great-dane2.png,pug,This is a,no,0,dogs2,linda,NA,great dane,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/pug2.png,some_college,NA,NA,english,male,NA,NA,2,1587741893988,1,NA,This is a,2.5,great dane,NA,NA,warmup1,NA,NA
2237,NA,hummingbird,NA,NA,34,warmup/eagle2.png,hummingbird,This is a,no,0,birds,linda,NA,eagle,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/hummingbird2.png,some_college,NA,NA,english,male,NA,NA,3,1587741893988,1,NA,This is an,2.5,eagle,NA,NA,warmup1,NA,NA
2237,What do you think your friend is saying is it small relative to?,NA,images/hummingbird.png,images/bird-parade-basic.png,34,NA,NA,NA,no,0,birds,linda,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,rescue,hummingbird,31,birds,NA,NA,some_college,small,NA,english,male,16333,You visit your friend who works at an animal shelter and you see the following:,1,1587741893988,NA,It is small relative to other,NA,2.5,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That rescue is a small hummingbird.</b>
2237,What do you think your friend is saying is it big relative to?,NA,images/pug.png,images/dog-parade-basic2.png,34,NA,NA,NA,no,0,dogs2,linda,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,prize-winner,pug,31,dogs,NA,NA,some_college,small,NA,english,male,9308,You and your friend are at a pet show and you see the following:,2,1587741893988,NA,It is big relative to other,NA,2.5,NA,NA,incongruent,custom_main_text1,big,Your friend says: <br/><b>That big pug is a prize-winner.</b>
2237,What do you think your friend is saying is it small relative to?,NA,images/sunflower.png,images/flower-parade-basic.png,34,NA,NA,NA,no,0,flowers,linda,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,sunflower,31,plants,NA,NA,some_college,big,NA,english,male,6983,You and your friend are at their garden and you see the following:,3,1587741893988,NA,It is small relative to other,NA,2.5,NA,NA,incongruent,custom_main_text1,small,Your friend says: <br/><b>That gift is a small sunflower.</b>
2237,NA,chiwowea,NA,NA,34,warmup/doberman2.png,chihuahua,This is a,no,0,dogs1,linda,NA,doberman,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/chihuahua2.png,some_college,NA,NA,english,male,NA,NA,1,1587741893988,1,NA,This is a,2.5,doberman,NA,NA,warmup2,NA,NA
2237,NA,chihuahua,NA,NA,34,warmup/doberman2.png,chihuahua,This is a,no,0,dogs1,linda,NA,doberman,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/chihuahua2.png,some_college,NA,NA,english,male,NA,NA,1,1587741893988,2,NA,This is a,2.5,doberman,NA,NA,warmup2,NA,NA
2237,NA,redwood,NA,NA,34,warmup/bonsai2.png,redwood or sequoia (choose one),This is a,no,0,trees,linda,NA,bonsai,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,31,NA,NA,warmup/redwood2.png,some_college,NA,NA,english,male,NA,NA,2,1587741893988,1,NA,This is a,2.5,bonsai,NA,NA,warmup2,NA,NA
