submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,trial_type,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,ref_np,target,age,response,comments,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,question2,response2,correct,adj_cond,trial_name,adj,utterance
2323,NA,clownfish,NA,NA,35,warmup/tuna2.png,clownfish,NA,This is a,Nope,1,fish,Margaret,NA,tuna,confused,Please label the pictures below.,NA,NA,NA,NA,37,NA,I think I did it correctly but not sure entirely.,warmup/clownfish2.png,fish,higher_degree,NA,NA,English,male,NA,fish,NA,1,1607555782462,1,NA,This is a,0.5,These are both,tuna fish,NA,NA,warmup1,NA,NA
2323,NA,clownfish,NA,NA,35,warmup/tuna2.png,clownfish,NA,This is a,Nope,1,fish,Margaret,NA,tuna,confused,Please label the pictures below.,NA,NA,NA,NA,37,NA,I think I did it correctly but not sure entirely.,warmup/clownfish2.png,fish,higher_degree,NA,NA,English,male,NA,fish,NA,1,1607555782462,2,NA,This is a,0.5,These are both,tuna,NA,NA,warmup1,NA,NA
2323,NA,bonsai,NA,NA,35,warmup/redwood2.png,bonsai,NA,This is a,Nope,1,trees,Margaret,NA,redwood or sequoia (choose one),confused,Please label the pictures below.,NA,NA,NA,NA,37,NA,I think I did it correctly but not sure entirely.,warmup/bonsai2.png,trees,higher_degree,NA,NA,English,male,NA,trees,NA,2,1607555782462,1,NA,This is a,0.5,These are both,redwood,NA,NA,warmup1,NA,NA
2323,<i>What do you think Speaker A meant? </i>,NA,NA,NA,35,NA,NA,NA,NA,Nope,1,NA,Margaret,1,NA,confused,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,37,buildings,I think I did it correctly but not sure entirely.,NA,NA,higher_degree,NA,comp_class_warmup,English,male,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1607555782462,1,The Empire State Building is tall relative to other,NA,0.5,NA,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2323,What do you think your friend is saying it is small relative to?,NA,images/bonsai_filler.png,images/tree-parade-basic_filler.png,35,NA,NA,filler,NA,Nope,1,trees,Margaret,NA,NA,confused,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,landmark,bonsai,37,trees,I think I did it correctly but not sure entirely.,NA,NA,higher_degree,small,NA,English,male,14064,NA,You and your friend see the following:,1,1607555782462,NA,It is small relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small bonsai.</b>
2323,What do you think your friend is saying it is small relative to?,NA,images/clownfish_net.png,images/fish-parade-basic.png,35,NA,NA,critical,NA,Nope,1,fish,Margaret,NA,NA,confused,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,rescue,clownfish,37,fish,I think I did it correctly but not sure entirely.,NA,NA,higher_degree,small,NA,English,male,12890,NA,You visit your friend who works as a marine biologist and you see the following:,2,1607555782462,NA,It is small relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small clownfish is a rescue.</b>
2323,What do you think your friend is saying it is big relative to?,NA,images/tuna_filler.png,images/fish-parade-basic_filler.png,35,NA,NA,filler,NA,Nope,1,fish,Margaret,NA,NA,confused,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,rescue,tuna,37,fish,I think I did it correctly but not sure entirely.,NA,NA,higher_degree,big,NA,English,male,8809,NA,You and your friend see the following:,3,1607555782462,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big tuna.</b>
2323,What do you think your friend is saying it is big relative to?,NA,images/redwood_sign.png,images/tree-parade-basic.png,35,NA,NA,critical,NA,Nope,1,trees,Margaret,NA,NA,confused,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,landmark,redwood,37,trees,I think I did it correctly but not sure entirely.,NA,NA,higher_degree,big,NA,English,male,15893,NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,4,1607555782462,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big redwood is a landmark.</b>
2323,NA,Great Dane,NA,NA,35,warmup/pug2.png,great dane,NA,This is a,Nope,1,dogs2,Margaret,NA,pug,confused,Please label the pictures below.,NA,NA,NA,NA,37,NA,I think I did it correctly but not sure entirely.,warmup/great-dane2.png,dogs,higher_degree,NA,NA,English,male,NA,dogs,NA,1,1607555782462,1,NA,This is a,0.5,These are both,pug,NA,NA,warmup2,NA,NA
2323,NA,sunflower,NA,NA,35,warmup/dandelion2.png,sunflower,NA,This is a,Nope,1,flowers,Margaret,NA,dandelion,confused,Please label the pictures below.,NA,NA,NA,NA,37,NA,I think I did it correctly but not sure entirely.,warmup/sunflower2.png,flowers,higher_degree,NA,NA,English,male,NA,flowers,NA,2,1607555782462,1,NA,This is a,0.5,These are both,dandelion,NA,NA,warmup2,NA,NA
