submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,trial_type,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,ref_np,target,age,response,comments,picture1,education,target_size,name,languages,sex,RT,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,response2,correct,adj_cond,trial_name,adj,utterance
2255,<i>What do you think Speaker A meant? </i>,NA,NA,NA,35,NA,NA,NA,NA,none,1,NA,elizabeth,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,36,buildings,none,NA,some_college,NA,comp_class_warmup,English,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1588871566726,1,The Empire State Building is tall relative to other,NA,0.6,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2255,NA,bonsai,NA,NA,35,warmup/bonsai2.png,redwood or sequoia (choose one),NA,This is a,none,1,trees,elizabeth,NA,bonsai,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,36,NA,none,warmup/redwood2.png,some_college,NA,NA,English,female,NA,NA,1,1588871566726,1,NA,This is a,0.6,redwood,NA,NA,warmup1,NA,NA
2255,NA,sunflower,NA,NA,35,warmup/sunflower2.png,dandelion,NA,This is a,none,1,flowers,elizabeth,NA,sunflower,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,36,NA,none,warmup/dandelion2.png,some_college,NA,NA,English,female,NA,NA,2,1588871566726,1,NA,This is a,0.6,dandelion,NA,NA,warmup1,NA,NA
2255,What do you think your friend is saying is it big relative to?,NA,images/sunflower_filler.png,images/flower-parade-basic_filler.png,35,NA,NA,filler,NA,none,1,flowers,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,gift,sunflower,36,sunflowers,none,NA,some_college,big,NA,English,female,6921,You and your friend see the following:,1,1588871566726,NA,It is big relative to other,NA,0.6,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That sunflower is big.</b>
2255,What do you think your friend is saying is it big relative to?,NA,images/redwood_sign.png,images/tree-parade-basic.png,35,NA,NA,critical,NA,none,1,trees,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,landmark,redwood,36,redwoods,none,NA,some_college,big,NA,English,female,5021,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,2,1588871566726,NA,It is big relative to other,NA,0.6,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big redwood is a landmark.</b>
2255,What do you think your friend is saying is it small relative to?,NA,images/bonsai_filler.png,images/tree-parade-basic_filler.png,35,NA,NA,filler,NA,none,1,trees,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,landmark,bonsai,36,bonsais,none,NA,some_college,small,NA,English,female,4275,You and your friend see the following:,3,1588871566726,NA,It is small relative to other,NA,0.6,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That bonsai is small.</b>
2255,What do you think your friend is saying is it small relative to?,NA,images/dandelion.png,images/flower-parade-basic.png,35,NA,NA,critical,NA,none,1,flowers,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,dandelion,36,dandelions,none,NA,some_college,small,NA,English,female,6986,You and your friend are at their garden and you see the following:,4,1588871566726,NA,It is small relative to other,NA,0.6,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That gift is a small dandelion.</b>
2255,NA,eagle,NA,NA,35,warmup/eagle2.png,hummingbird,NA,This is a,none,1,birds,elizabeth,NA,eagle,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,36,NA,none,warmup/hummingbird2.png,some_college,NA,NA,English,female,NA,NA,1,1588871566726,1,NA,This is an,0.6,hummingbird,NA,NA,warmup2,NA,NA
2255,NA,doberman,NA,NA,35,warmup/doberman2.png,chihuahua,NA,This is a,none,1,dogs1,elizabeth,NA,doberman,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,36,NA,none,warmup/chihuahua2.png,some_college,NA,NA,English,female,NA,NA,2,1588871566726,1,NA,This is a,0.6,chihuahua,NA,NA,warmup2,NA,NA
2255,What do you think your friend is saying is it small relative to?,NA,images/hummingbird_filler.png,images/bird-parade-basic_filler.png,35,NA,NA,filler,NA,none,1,birds,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,rescue,hummingbird,36,hummingbirds,none,NA,some_college,small,NA,English,female,6847,You and your friend see the following:,1,1588871566726,NA,It is small relative to other,NA,0.6,NA,NA,congruent,custom_main_text2,small,Your friend says: <br/><b>That's a small hummingbird.</b>
2255,What do you think your friend is saying is it big relative to?,NA,images/doberman_filler.png,images/dog-parade-basic_filler.png,35,NA,NA,filler,NA,none,1,dogs1,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,service animal,doberman,36,dobermans,none,NA,some_college,big,NA,English,female,3673,You and your friend see the following:,2,1588871566726,NA,It is big relative to other,NA,0.6,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That's a big doberman.</b>
2255,What do you think your friend is saying is it small relative to?,NA,images/chihuahua.png,images/dog-parade-basic.png,35,NA,NA,critical,NA,none,1,dogs1,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,service animal,chihuahua,36,chihuahuas,none,NA,some_college,small,NA,English,female,4657,You and your friend are at an animal training ground and you see the following:,3,1588871566726,NA,It is small relative to other,NA,0.6,NA,NA,congruent,custom_main_text2,small,Your friend says: <br/><b>That service animal is a small chihuahua.</b>
2255,What do you think your friend is saying is it big relative to?,NA,images/eagle.png,images/bird-parade-basic.png,35,NA,NA,critical,NA,none,1,birds,elizabeth,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,rescue,eagle,36,eagles,none,NA,some_college,big,NA,English,female,8266,You visit your friend who works at an animal shelter and you see the following:,4,1588871566726,NA,It is big relative to other,NA,0.6,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That big eagle is a rescue.</b>
2254,<i>What do you think Speaker A meant? </i>,NA,NA,NA,35,NA,NA,NA,NA,No,1,NA,Jessica,1,NA,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,26,buildings,NA,NA,graduated_high_school,NA,comp_class_warmup,English,male,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1588869551881,1,The Empire State Building is tall relative to other,NA,1,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2254,NA,great dane,NA,NA,35,warmup/great-dane2.png,pug,NA,This is a,No,1,dogs2,Jessica,NA,great dane,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,26,NA,NA,warmup/pug2.png,graduated_high_school,NA,NA,English,male,NA,NA,1,1588869551881,1,NA,This is a,1,pug,NA,NA,warmup1,NA,NA
2254,NA,doberman,NA,NA,35,warmup/doberman2.png,chihuahua,NA,This is a,No,1,dogs1,Jessica,NA,doberman,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,26,NA,NA,warmup/chihuahua2.png,graduated_high_school,NA,NA,English,male,NA,NA,2,1588869551881,1,NA,This is a,1,chihuahua,NA,NA,warmup1,NA,NA
2254,What do you think your friend is saying is it small relative to?,NA,images/pug_filler.png,images/dog-parade-basic2_filler.png,35,NA,NA,filler,NA,No,1,dogs2,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,prize-winner,pug,26,dogs,NA,NA,graduated_high_school,small,NA,English,male,18129,You and your friend see the following:,1,1588869551881,NA,It is small relative to other,NA,1,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2254,What do you think your friend is saying is it small relative to?,NA,images/chihuahua.png,images/dog-parade-basic.png,35,NA,NA,critical,NA,No,1,dogs1,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,service animal,chihuahua,26,dogs,NA,NA,graduated_high_school,small,NA,English,male,20482,You and your friend are at an animal training ground and you see the following:,2,1588869551881,NA,It is small relative to other,NA,1,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small chihuahua is a service animal.</b>
2254,What do you think your friend is saying is it big relative to?,NA,images/doberman_filler.png,images/dog-parade-basic_filler.png,35,NA,NA,filler,NA,No,1,dogs1,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,service animal,doberman,26,dogs,NA,NA,graduated_high_school,big,NA,English,male,8065,You and your friend see the following:,3,1588869551881,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That doberman is big.</b>
2254,What do you think your friend is saying is it big relative to?,NA,images/great-dane.png,images/dog-parade-basic2.png,35,NA,NA,critical,NA,No,1,dogs2,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,prize-winner,Great Dane,26,dogs,NA,NA,graduated_high_school,big,NA,English,male,23853,You and your friend are at a pet show and you see the following:,4,1588869551881,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
2254,NA,eagle,NA,NA,35,warmup/eagle2.png,hummingbird,NA,This is a,No,1,birds,Jessica,NA,eagle,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,26,NA,NA,warmup/hummingbird2.png,graduated_high_school,NA,NA,English,male,NA,NA,1,1588869551881,1,NA,This is an,1,hummingbird,NA,NA,warmup2,NA,NA
2254,NA,sunflower,NA,NA,35,warmup/sunflower2.png,dandelion,NA,This is a,No,1,flowers,Jessica,NA,sunflower,NA,Your turn! Please label the pictures below.,NA,NA,NA,NA,26,NA,NA,warmup/dandelion2.png,graduated_high_school,NA,NA,English,male,NA,NA,2,1588869551881,1,NA,This is a,1,dandelion,NA,NA,warmup2,NA,NA
2254,What do you think your friend is saying is it big relative to?,NA,images/eagle_filler.png,images/bird-parade-basic_filler.png,35,NA,NA,filler,NA,No,1,birds,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,rescue,eagle,26,birds,NA,NA,graduated_high_school,big,NA,English,male,7958,You and your friend see the following:,1,1588869551881,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That's a big eagle.</b>
2254,What do you think your friend is saying is it small relative to?,NA,images/dandelion_filler.png,images/flower-parade-basic_filler.png,35,NA,NA,filler,NA,No,1,flowers,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,dandelion,26,dandelions,NA,NA,graduated_high_school,small,NA,English,male,16486,You and your friend see the following:,2,1588869551881,NA,It is small relative to other,NA,1,NA,NA,congruent,custom_main_text2,small,Your friend says: <br/><b>That's a small dandelion.</b>
2254,What do you think your friend is saying is it big relative to?,NA,images/sunflower.png,images/flower-parade-basic.png,35,NA,NA,critical,NA,No,1,flowers,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,sunflower,26,sunflowers,NA,NA,graduated_high_school,big,NA,English,male,12311,You and your friend are at their garden and you see the following:,3,1588869551881,NA,It is big relative to other,NA,1,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That gift is a big sunflower.</b>
2254,What do you think your friend is saying is it small relative to?,NA,images/hummingbird.png,images/bird-parade-basic.png,35,NA,NA,critical,NA,No,1,birds,Jessica,NA,NA,NA,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,rescue,hummingbird,26,birds,NA,NA,graduated_high_school,small,NA,English,male,10187,You visit your friend who works at an animal shelter and you see the following:,4,1588869551881,NA,It is small relative to other,NA,1,NA,NA,congruent,custom_main_text2,small,Your friend says: <br/><b>That small hummingbird is a rescue.</b>
2253,<i>What do you think Speaker A meant? </i>,NA,NA,NA,35,NA,NA,NA,NA,no,1,NA,linda,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,35,buildings,NA,NA,graduated_college,NA,comp_class_warmup,english,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1588870818532,1,The Empire State Building is tall relative to other,NA,1,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2253,NA,great dane,NA,NA,35,warmup/great-dane2.png,pug,NA,This is a,no,1,dogs2,linda,NA,great dane,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,35,NA,NA,warmup/pug2.png,graduated_college,NA,NA,english,female,NA,NA,1,1588870818532,1,NA,This is a,1,pug,NA,NA,warmup1,NA,NA
2253,NA,sunflower,NA,NA,35,warmup/sunflower2.png,dandelion,NA,This is a,no,1,flowers,linda,NA,sunflower,yes,Your turn! Please label the pictures below.,NA,NA,NA,NA,35,NA,NA,warmup/dandelion2.png,graduated_college,NA,NA,english,female,NA,NA,2,1588870818532,1,NA,This is a,1,dandelion,NA,NA,warmup1,NA,NA
2253,What do you think your friend is saying is it small relative to?,NA,images/dandelion_filler.png,images/flower-parade-basic_filler.png,35,NA,NA,filler,NA,no,1,flowers,linda,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,dandelion,35,flowers,NA,NA,graduated_college,small,NA,english,female,10347,You and your friend see the following:,1,1588870818532,NA,It is small relative to other,NA,1,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small dandelion.</b>
