trial_name,trial_number,attempts,response1,response2,response3,picture1,picture2,item,correct3,text,question1,question2,question3,response,name,trials,context,sentence,question,paraphrase,correct,RT,trial_type,context_picture,target_picture,target,target_size,ref_np,adj,adj_cond,syntax,utterance,workerid,startDate,startTime,botresponse,understand,age,sex,education,languages,enjoyment,problems,fairprice,comments,experiment_id
warmup1,1,1,sunflower,dandelion,flowers,warmup/sunflower2.png,warmup/dandelion2.png,flowers,flowers,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
warmup1,2,1,bonsai,redwood,trees,warmup/bonsai2.png,warmup/redwood2.png,trees,trees,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
comp_class_warmup,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",buildings,comp_class_warmup,1,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,"<b> Speaker A: ""The Empire State Building is tall.""</b>",<i>What do you think Speaker A meant? </i>,The Empire State Building is tall relative to other ,"buildings, skyscrapers, houses, constructions (choose one)",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text1,1,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",trees,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",17551,filler,images/tree-parade-basic_filler.png,images/redwood_filler.png,redwood,big,landmark,big,congruent,subj,Your friend says: <br/><b>That redwood is big.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text1,2,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",flowers,"NA",NA,You and your friend are at their garden and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",13281,critical,images/flower-parade-basic.png,images/dandelion.png,dandelion,small,gift,small,congruent,subj,Your friend says: <br/><b>That small dandelion is a gift.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text1,3,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",sunflowers,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",11271,filler,images/flower-parade-basic_filler.png,images/sunflower_filler.png,sunflower,big,gift,big,congruent,pred,Your friend says: <br/><b>That's a big sunflower.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text1,4,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",landmarks,"NA",NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",24912,critical,images/tree-parade-basic.png,images/bonsai_stick.png,bonsai,small,landmark,small,congruent,pred,Your friend says: <br/><b>That landmark is a small bonsai.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
warmup2,1,1,pug,great dane,dogs,warmup/pug2.png,warmup/great-dane2.png,dogs2,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
warmup2,2,1,hummingbird,eagle,birds,warmup/hummingbird2.png,warmup/eagle2.png,birds,birds,Please label the pictures below.,This is a ,These are both ,This is an ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text2,1,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dogs,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",9481,filler,images/dog-parade-basic2_filler.png,images/pug_filler.png,pug,small,prize-winner,small,congruent,subj,Your friend says: <br/><b>That pug is small.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
