submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,pic_spec,understand,text,condition,sentence,age,response,comments,ref_spec,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,correct,adj_cond,trial_name
581,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other,NA,13,NA,NA,NA,no,2,NA,sarah,1,NA,NA,NA,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",32,building,NA,NA,NA,NA,graduated_college,NA,comp_class_warmup,english,male,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1571236732868,1,NA,5,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
581,NA,insect,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,no,2,birds,sarah,NA,eagle,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/colibri.jpg,birds,graduated_college,NA,NA,english,male,NA,birds,NA,1,1571236732868,1,This is an,5,These are both,eagle,NA,NA,warmup1
581,NA,hummingbird,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,no,2,birds,sarah,NA,eagle,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/colibri.jpg,birds,graduated_college,NA,NA,english,male,NA,birds,NA,1,1571236732868,2,This is an,5,These are both,eagle,NA,NA,warmup1
581,NA,puppy,NA,NA,13,warmup/great-dane.jpg,pug,This is a,no,2,dogs,sarah,NA,great dane,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/pug.jpg,animals,graduated_college,NA,NA,english,male,NA,dogs,NA,2,1571236732868,1,This is a,5,These are both,dogg,NA,NA,warmup1
581,NA,pug,NA,NA,13,warmup/great-dane.jpg,pug,This is a,no,2,dogs,sarah,NA,great dane,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/pug.jpg,dogs,graduated_college,NA,NA,english,male,NA,dogs,NA,2,1571236732868,2,This is a,5,These are both,great dane,NA,NA,warmup1
581,NA,pug,NA,NA,13,warmup/doberman.png,chihuahua,This is a,no,2,dogs,sarah,NA,doberman,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,NA,english,male,NA,dogs,NA,3,1571236732868,1,This is a,5,These are both,doberman,NA,NA,warmup1
581,NA,chihuahua,NA,NA,13,warmup/doberman.png,chihuahua,This is a,no,2,dogs,sarah,NA,doberman,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,NA,english,male,NA,dogs,NA,3,1571236732868,2,This is a,5,These are both,doberman,NA,NA,warmup1
581,What do you think your friend meant?,NA,It is big relative to other,images/dog-parade-basic.png,13,NA,NA,NA,no,2,dogs1,sarah,NA,NA,0,NA,"You and your friend see another  doberman (not pictured), and your friend says: <br/><b>That's a big dog.</b>",prenominal,NA,32,dogs,NA,0,NA,NA,graduated_college,big,NA,english,male,NA,NA,You and your friend see the following:,1,1571236732868,NA,NA,5,NA,NA,NA,basic,custom_main_text1
581,What do you think your friend meant?,NA,It is small relative to other,images/bird-parade-basic.png,13,NA,NA,NA,no,2,birds,sarah,NA,NA,0,NA,"You and your friend see another  hummingbird (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,32,birds,NA,2,NA,NA,graduated_college,small,NA,english,male,NA,NA,You and your friend see the following:,2,1571236732868,NA,NA,5,NA,NA,NA,basic,custom_main_text1
581,What do you think your friend meant?,NA,It is small relative to other,images/dog-parade-pug.png,13,NA,NA,NA,no,2,dogs2,sarah,NA,NA,1,NA,"You and your friend see another  pug (not pictured), and your friend says: <br/><b>That's a small pug.</b>",prenominal,NA,32,pugs,NA,1,NA,NA,graduated_college,small,NA,english,male,NA,NA,You and your friend see the following:,3,1571236732868,NA,NA,5,NA,NA,NA,congr,custom_main_text1
581,NA,dolphin,NA,NA,13,warmup/goldfish.png,swordfish,This is a,no,2,fish,sarah,NA,goldfish,NA,NA,Please label the pictures below.,NA,NA,32,NA,NA,NA,warmup/swordfish.jpg,fishes,graduated_college,NA,NA,english,male,NA,fish,NA,1,1571236732868,1,This is a,5,These are both,fish,NA,NA,warmup2
