submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,pic_spec,understand,text,condition,sentence,age,response,comments,ref_spec,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,correct,adj_cond,trial_name
491,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other,NA,13,NA,NA,NA,NA,1,NA,jessica,1,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",23,buildings,NA,NA,NA,NA,graduated_college,NA,comp_class_warmup,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1567793426562,1,NA,0.8,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
491,NA,dandelion,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,jessica,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,NA,English,female,NA,flowers,NA,1,1567793426562,1,This is a,0.8,These are both,sunflower,NA,NA,warmup1
491,NA,swordfish,NA,NA,13,warmup/goldfish.png,swordfish,This is a,NA,1,fish,jessica,NA,goldfish,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/swordfish.jpg,fish,graduated_college,NA,NA,English,female,NA,fish,NA,2,1567793426562,1,This is a,0.8,These are both,goldfish,NA,NA,warmup1
491,NA,Chihuahua,NA,NA,13,warmup/doberman.png,chihuahua,This is a,NA,1,dogs,jessica,NA,doberman,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,NA,English,female,NA,dogs,NA,3,1567793426562,1,This is a,0.8,These are both,doberman,NA,NA,warmup1
491,Please rephrase your friend's comment.,NA,It is small relative to other,images/fish-parade-goldfish.png,13,NA,NA,NA,NA,1,fish,jessica,NA,NA,1,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small goldfish.</b>",prenominal,NA,23,goldfish,NA,0,NA,NA,graduated_college,small,NA,English,female,NA,NA,You and your friend see the following:,1,1567793426562,NA,NA,0.8,NA,NA,NA,congr,custom_main_text1
491,What do you think your friend meant?,NA,It is big relative to other,images/flower-parade-basic.png,13,NA,NA,NA,NA,1,flowers,jessica,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big sunflower.</b>",prenominal,NA,23,flowers,NA,0,NA,NA,graduated_college,big,NA,English,female,NA,NA,You and your friend see the following:,2,1567793426562,NA,NA,0.8,NA,NA,NA,basic,custom_main_text1
491,What do you think your friend meant?,NA,It is small relative to other,images/dog-parade-doberman.png,13,NA,NA,NA,NA,1,dogs1,jessica,NA,NA,2,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,23,dobermans,NA,1,NA,NA,graduated_college,small,NA,English,female,NA,NA,You and your friend see the following:,3,1567793426562,NA,NA,0.8,NA,NA,NA,incongr,custom_main_text1
491,NA,hummingbird,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,NA,1,birds,jessica,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/colibri.jpg,birds,graduated_college,NA,NA,English,female,NA,birds,NA,1,1567793426562,1,This is an,0.8,These are both,eagle,NA,NA,warmup2
491,NA,pug,NA,NA,13,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,jessica,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/pug.jpg,dog,graduated_college,NA,NA,English,female,NA,dogs,NA,2,1567793426562,1,This is a,0.8,These are both,greyhound,NA,NA,warmup2
491,NA,pug,NA,NA,13,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,jessica,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/pug.jpg,dogs,graduated_college,NA,NA,English,female,NA,dogs,NA,2,1567793426562,2,This is a,0.8,These are both,great dane,NA,NA,warmup2
491,NA,pine,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,jessica,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/sequoia.png,trees,graduated_college,NA,NA,English,female,NA,trees,NA,3,1567793426562,1,This is a,0.8,These are both,bonsai,NA,NA,warmup2
491,NA,sequoia,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,jessica,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,23,NA,NA,NA,warmup/sequoia.png,trees,graduated_college,NA,NA,English,female,NA,trees,NA,3,1567793426562,2,This is a,0.8,These are both,bonsai,NA,NA,warmup2
491,What do you think your friend meant?,NA,It is big relative to other,images/bird-parade-basic.png,13,NA,NA,NA,NA,1,birds,jessica,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big eagle.</b>",prenominal,NA,23,birds,NA,0,NA,NA,graduated_college,big,NA,English,female,NA,NA,You and your friend see the following:,1,1567793426562,NA,NA,0.8,NA,NA,NA,basic,custom_main_text2
491,What do you think your friend meant?,NA,It is small relative to other,images/tree-parade-bonsai.png,13,NA,NA,NA,NA,1,trees,jessica,NA,NA,1,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,23,bonsai,NA,1,NA,NA,graduated_college,small,NA,English,female,NA,NA,You and your friend see the following:,2,1567793426562,NA,NA,0.8,NA,NA,NA,congr,custom_main_text2
491,What do you think your friend meant?,NA,It is small relative to other,images/dog-parade-basic2.png,13,NA,NA,NA,NA,1,dogs2,jessica,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,23,dogs,NA,1,NA,NA,graduated_college,small,NA,English,female,NA,NA,You and your friend see the following:,3,1567793426562,NA,NA,0.8,NA,NA,NA,basic,custom_main_text2
489,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other,NA,13,NA,NA,NA,I had to reload because a picture didn't load......,2,NA,jennifer,1,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",64,buildings,NA,NA,NA,NA,some_college,NA,comp_class_warmup,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1567792328184,1,NA,1,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
489,NA,hummingbird,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,I had to reload because a picture didn't load......,2,birds,jennifer,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/colibri.jpg,birds,some_college,NA,NA,English,female,NA,birds,NA,1,1567792328184,1,This is an,1,These are both,eagle,NA,NA,warmup1
489,NA,pine,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,I had to reload because a picture didn't load......,2,trees,jennifer,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/sequoia.png,trees,some_college,NA,NA,English,female,NA,trees,NA,2,1567792328184,1,This is a,1,These are both,bonsai,NA,NA,warmup1
489,NA,sequoia,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,I had to reload because a picture didn't load......,2,trees,jennifer,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/sequoia.png,trees,some_college,NA,NA,English,female,NA,trees,NA,2,1567792328184,2,This is a,1,These are both,bonsai,NA,NA,warmup1
489,NA,bulldog,NA,NA,13,warmup/great-dane.jpg,pug,This is a,I had to reload because a picture didn't load......,2,dogs,jennifer,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/pug.jpg,dogs,some_college,NA,NA,English,female,NA,dogs,NA,3,1567792328184,1,This is a,1,These are both,great dane,NA,NA,warmup1
489,NA,pug,NA,NA,13,warmup/great-dane.jpg,pug,This is a,I had to reload because a picture didn't load......,2,dogs,jennifer,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/pug.jpg,dogs,some_college,NA,NA,English,female,NA,dogs,NA,3,1567792328184,2,This is a,1,These are both,great dane,NA,NA,warmup1
489,What do you think your friend meant?,NA,It is small relative to other,images/dog-parade-great-dane.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,dogs2,jennifer,NA,NA,2,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small great dane.</b>",prenominal,NA,64,great danes,NA,0,NA,NA,some_college,small,NA,English,female,NA,NA,You and your friend see the following:,1,1567792328184,NA,NA,1,NA,NA,NA,incongr,custom_main_text1
489,What do you think your friend meant?,NA,It is small relative to other,images/bird-parade-hummingbird.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,birds,jennifer,NA,NA,1,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,64,hummingbirds,NA,1,NA,NA,some_college,small,NA,English,female,NA,NA,You and your friend see the following:,2,1567792328184,NA,NA,1,NA,NA,NA,congr,custom_main_text1
489,What do you think your friend meant?,NA,It is small relative to other,images/tree-parade-basic.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,trees,jennifer,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small bonsai.</b>",prenominal,NA,64,bonsais,NA,0,NA,NA,some_college,small,NA,English,female,NA,NA,You and your friend see the following:,3,1567792328184,NA,NA,1,NA,NA,NA,basic,custom_main_text1
489,NA,shark,NA,NA,13,warmup/goldfish.png,swordfish,This is a,I had to reload because a picture didn't load......,2,fish,jennifer,NA,goldfish,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/swordfish.jpg,fish,some_college,NA,NA,English,female,NA,fish,NA,1,1567792328184,1,This is a,1,These are both,goldfish,NA,NA,warmup2
489,NA,swordfish,NA,NA,13,warmup/goldfish.png,swordfish,This is a,I had to reload because a picture didn't load......,2,fish,jennifer,NA,goldfish,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/swordfish.jpg,fish,some_college,NA,NA,English,female,NA,fish,NA,1,1567792328184,2,This is a,1,These are both,goldfish,NA,NA,warmup2
489,NA,dandelion,NA,NA,13,warmup/sunflower.png,dandelion,This is a,I had to reload because a picture didn't load......,2,flowers,jennifer,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/dandelion.jpg,flowers,some_college,NA,NA,English,female,NA,flowers,NA,2,1567792328184,1,This is a,1,These are both,sunflower,NA,NA,warmup2
489,NA,chihuahua,NA,NA,13,warmup/doberman.png,chihuahua,This is a,I had to reload because a picture didn't load......,2,dogs,jennifer,NA,doberman,NA,yes,Please label the pictures below.,NA,NA,64,NA,NA,NA,warmup/chihuahua.jpg,dogs,some_college,NA,NA,English,female,NA,dogs,NA,3,1567792328184,1,This is a,1,These are both,doberman,NA,NA,warmup2
489,What do you think your friend meant?,NA,It is big relative to other,images/dog-parade-basic.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,dogs1,jennifer,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big doberman.</b>",prenominal,NA,64,dobermans,NA,0,NA,NA,some_college,big,NA,English,female,NA,NA,You and your friend see the following:,1,1567792328184,NA,NA,1,NA,NA,NA,basic,custom_main_text2
489,Please rephrase your friend's comment.,NA,It is big relative to other,images/fish-parade-basic.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,fish,jennifer,NA,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big one.</b>",prenominal,NA,64,swordfish,NA,1,NA,NA,some_college,big,NA,English,female,NA,NA,You and your friend see the following:,2,1567792328184,NA,NA,1,NA,NA,NA,basic,custom_main_text2
489,What do you think your friend meant?,NA,It is big relative to other,images/flower-parade-dandelion.png,13,NA,NA,NA,I had to reload because a picture didn't load......,2,flowers,jennifer,NA,NA,2,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big one.</b>",prenominal,NA,64,dandelions,NA,1,NA,NA,some_college,big,NA,English,female,NA,NA,You and your friend see the following:,3,1567792328184,NA,NA,1,NA,NA,NA,incongr,custom_main_text2
487,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other,NA,13,NA,NA,NA,none.,2,NA,jennifer,1,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",48,buildings,NA,NA,NA,NA,some_college,NA,comp_class_warmup,english,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1567791733365,1,NA,2,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
487,NA,tree,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,none.,2,trees,jennifer,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,48,NA,NA,NA,warmup/sequoia.png,green,some_college,NA,NA,english,female,NA,trees,NA,1,1567791733365,1,This is a,2,These are both,plant,NA,NA,warmup1
487,NA,tree,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,none.,2,trees,jennifer,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,48,NA,NA,NA,warmup/sequoia.png,trees,some_college,NA,NA,english,female,NA,trees,NA,1,1567791733365,2,This is a,2,These are both,plant,NA,NA,warmup1
